,sentences,ingredients
0,"What can I cook with chicken, broccoli, and rice?","['chicken', 'broccoli', 'rice']"
1,"I have potatoes, carrots, and celery. What recipes can I make?","['potatoes', 'carrots', 'celery']"
2,"What dishes can I prepare with beef, bell peppers, and mushrooms?","['beef', 'bell peppers', 'mushrooms']"
3,"What can I make with pasta, spinach, and cheese?","['pasta', 'spinach', 'cheese']"
4,"What's a good vegetarian dish with lentils, tomatoes, and onions?","['lentils', 'tomatoes', 'onions']"
5,"I'm looking for a healthy dinner recipe with salmon, asparagus, and lemon.","['salmon', 'asparagus', 'lemon']"
6,"What desserts can I make with apples, cinnamon, and oats?","['apples', 'cinnamon', 'oats']"
7,"What can I cook with tofu, broccoli, and soy sauce?","['tofu', 'broccoli', 'soy sauce']"
8,"How can I turn eggs, bacon, and bread into a tasty breakfast?","['eggs', 'bacon', 'bread']"
9,"What desserts can I make with flour, sugar, and chocolate?","['flour', 'sugar', 'chocolate']"
10,"What recipe suggestions do you have for shrimp, bell peppers, and zucchini?","['shrimp', 'bell peppers', 'zucchini']"
11,"What can I cook with ground beef, bell peppers, and onions?","['ground beef', 'bell peppers', 'onions']"
12,"I have tofu, green beans, and teriyaki sauce. Any quick meal ideas?","['tofu', 'green beans', 'teriyaki sauce']"
13,"What can I make with chickpeas, tomatoes, and cucumbers?","['chickpeas', 'tomatoes', 'cucumbers']"
14,"What's a simple yet delicious meal I can prepare with rice, beans, and tomatoes?","['rice', 'beans', 'tomatoes']"
15,"What's for dinner with pork chops, sweet potatoes, and green beans?","['pork chops', 'sweet potatoes', 'green beans']"
16,"What dishes can I prepare with quinoa, kale, and avocado?","['quinoa', 'kale', 'avocado']"
17,I'm in the mood for a salad. What ingredients can I use?,['salad ingredients']
18,"What's a good recipe for ground turkey, bell peppers, and onions?","['ground turkey', 'bell peppers', 'onions']"
19,"What can I cook with chicken, bell peppers, and pineapple?","['chicken', 'bell peppers', 'pineapple']"
20,"I have ground beef, potatoes, and corn. What can I make?","['ground beef', 'potatoes', 'corn']"
21,"What recipes can I make with sausage, peppers, and onions?","['sausage', 'peppers', 'onions']"
22,"What's a good vegetarian recipe with tofu, broccoli, and carrots?","['tofu', 'broccoli', 'carrots']"
23,"What can I cook with pasta, tomatoes, and basil?","['pasta', 'tomatoes', 'basil']"
24,"I have chicken, spinach, and feta cheese. Any ideas?","['chicken', 'spinach', 'feta']"
25,"What can I make with ground beef, rice, and peas?","['ground beef', 'rice', 'peas']"
26,"What's a good recipe for fish, potatoes, and green beans?","['fish', 'potatoes', 'green beans']"
27,"What desserts can I make with strawberries, cream cheese, and graham crackers?","['strawberries', 'cream cheese', 'graham crackers']"
28,"What can I cook with shrimp, garlic, and butter?","['shrimp', 'garlic', 'butter']"
29,"I have pork tenderloin, apples, and sweet potatoes. What can I prepare?","['pork tenderloin', 'apples', 'sweet potatoes']"
30,"What's a simple recipe for chicken, potatoes, and green beans?","['chicken', 'potatoes', 'green beans']"
31,"What can I make with ground turkey, black beans, and corn?","['ground turkey', 'black beans', 'corn']"
32,"What's a good vegetarian dish with eggplant, tomatoes, and mozzarella?","['eggplant', 'tomatoes', 'mozzarella']"
33,"What can I cook with tilapia, broccoli, and quinoa?","['tilapia', 'broccoli', 'quinoa']"
34,"I have ground beef, taco seasoning, and tortillas. What's for dinner?","['ground beef', 'taco seasoning', 'tortillas']"
35,"What recipes can I make with chicken, broccoli, and Alfredo sauce?","['chicken', 'broccoli', 'Alfredo']"
36,"What can I make with spinach, mushrooms, and goat cheese?","['spinach', 'mushrooms', 'goat cheese']"
37,"What's a good recipe for beef, onions, and bell peppers?","['beef', 'onions', 'bell peppers']"
38,"What can I cook with chicken, potatoes, and carrots?","['chicken', 'potatoes', 'carrots']"
39,"What desserts can I make with bananas, chocolate chips, and peanut butter?","['bananas', 'chocolate chips', 'peanut butter']"
40,"What can I make with ground turkey, sweet potatoes, and kale?","['ground turkey', 'sweet potatoes', 'kale']"
41,"I have shrimp, asparagus, and lemon. What's for dinner?","['shrimp', 'asparagus', 'lemon']"
42,"What's a good vegetarian recipe with chickpeas, spinach, and tomatoes?","['chickpeas', 'spinach', 'tomatoes']"
43,"What can I cook with ground beef, pasta, and marinara sauce?","['ground beef', 'pasta', 'marinara']"
44,"What can I make with chicken, broccoli, and cheddar cheese?","['chicken', 'broccoli', 'cheddar']"
45,"What's a simple recipe for fish, rice, and vegetables?","['fish', 'rice', 'vegetables']"
46,"What desserts can I make with blueberries, yogurt, and honey?","['blueberries', 'yogurt', 'honey']"
47,"What can I cook with pork chops, apples, and onions?","['pork chops', 'apples', 'onions']"
48,"What recipes can I make with tofu, bell peppers, and soy sauce?","['tofu', 'bell peppers', 'soy sauce']"
49,"What can I make with ground turkey, bell peppers, and rice?","['ground turkey', 'bell peppers', 'rice']"
50,"What's a good recipe for salmon, asparagus, and potatoes?","['salmon', 'asparagus', 'potatoes']"
51,"What can I cook with chicken, mushrooms, and cream sauce?","['chicken', 'mushrooms', 'cream sauce']"
52,"What's a good vegetarian dish with quinoa, black beans, and corn?","['quinoa', 'black beans', 'corn']"
53,"What can I make with ground beef, potatoes, and onions?","['ground beef', 'potatoes', 'onions']"
54,"What desserts can I make with raspberries, whipped cream, and chocolate?","['raspberries', 'whipped cream', 'chocolate']"
55,"What can I cook with shrimp, garlic, and olive oil?","['shrimp', 'garlic', 'olive oil']"
56,"I have pork tenderloin, sweet potatoes, and green beans. What's for dinner?","['pork tenderloin', 'sweet potatoes', 'green beans']"
57,"What's a simple recipe for chicken, rice, and vegetables?","['chicken', 'rice', 'vegetables']"
58,"What can I make with ground turkey, black beans, and salsa?","['ground turkey', 'black beans', 'salsa']"
59,"What recipes can I make with eggplant, tomatoes, and mozzarella?","['eggplant', 'tomatoes', 'mozzarella']"
60,"What can I cook with tilapia, lemon, and butter?","['tilapia', 'lemon', 'butter']"
61,"What's a good recipe for beef, broccoli, and soy sauce?","['beef', 'broccoli', 'soy sauce']"
62,"What can I make with chicken, potatoes, and green beans?","['chicken', 'potatoes', 'green beans']"
63,"What desserts can I make with strawberries, cream cheese, and puff pastry?","['strawberries', 'cream cheese', 'puff pastry']"
64,"What can I cook with shrimp, garlic, and white wine?","['shrimp', 'garlic', 'white wine']"
65,"What's a good vegetarian recipe with chickpeas, spinach, and feta cheese?","['chickpeas', 'spinach', 'feta']"
66,"What can I make with ground beef, pasta, and Alfredo sauce?","['ground beef', 'pasta', 'Alfredo']"
67,"What can I make with chicken, spinach, and feta cheese?","['chicken', 'spinach', 'feta']"
68,"What's a simple recipe for fish, potatoes, and carrots?","['fish', 'potatoes', 'carrots']"
